Afghanistan;Afghanistan;NONE;NONE;NONE;BLACK;RED;GREEN;NONE;NONE;NONE
AfriqueSud;South Africa;GREEN;RED;RED;BLACK;GREEN;GREEN;GREEN;BLUE;BLUE
Albanie;Albania;NONE;NONE;NONE;NONE;BLACK;NONE;NONE;NONE;NONE
Algerie;Algeria;NONE;NONE;NONE;GREEN;RED;WHITE;NONE;NONE;NONE
Allemagne;Germany;NONE;BLACK;NONE;NONE;RED;NONE;NONE;YELLOW;NONE
Andorre;Andorra;NONE;NONE;NONE;BLUE;YELLOW;RED;NONE;NONE;NONE
Angola;Angola;NONE;RED;NONE;NONE;BLACK;NONE;NONE;NONE;NONE
Antigua-Barbuda;Antigua and Barbuda;NONE;NONE;NONE;BLACK;BLACK;BLACK;RED;BLUE;RED
Arabie-Saoudite;Saudi Arabia;NONE;NONE;NONE;GREEN;WHITE;GREEN;NONE;NONE;NONE
Argentine;Argentina;NONE;BLUE;NONE;NONE;WHITE;NONE;NONE;BLUE;NONE
Armenie;Armenia;NONE;RED;NONE;NONE;BLUE;NONE;NONE;YELLOW;NONE
Australie;Australia;RED;BLUE;NONE;BLUE;BLUE;NONE;NONE;NONE;NONE
Autriche;Austria;NONE;RED;NONE;NONE;WHITE;NONE;NONE;RED;NONE
Azerbaidjan;Azerbaijan;NONE;BLUE;NONE;NONE;RED;NONE;NONE;GREEN;NONE
Bahamas;Bahamas, The;BLUE;BLUE;NONE;BLACK;YELLOW;NONE;BLUE;BLUE;NONE
Bahrein;Bahrain;NONE;NONE;NONE;WHITE;RED;RED;NONE;NONE;NONE
Bangladesh;Bangladesh;WHITE;WHITE;WHITE;GREEN;RED;GREEN;NONE;NONE;NONE
Barbade;Barbados;NONE;NONE;NONE;BLUE;YELLOW;BLUE;NONE;NONE;NONE
Belarusse;Belarus;RED;RED;NONE;RED;RED;NONE;GREEN;GREEN;NONE
Belgique;Belgium;NONE;NONE;NONE;BLACK;YELLOW;RED;NONE;NONE;NONE
Belize;Belize;NONE;NONE;NONE;BLUE;WHITE;BLUE;NONE;NONE;NONE
Benin;Benin;GREEN;YELLOW;NONE;GREEN;RED;NONE;NONE;NONE;NONE
Bhoutan;Bhutan;NONE;NONE;NONE;YELLOW;YELLOW;RED;YELLOW;RED;RED
Bolivie;Bolivia;NONE;RED;NONE;NONE;YELLOW;NONE;NONE;GREEN;NONE
Bosnie;Bosnia and Herzegovina;BLUE;YELLOW;NONE;BLUE;BLUE;NONE;NONE;NONE;NONE
Botswana;Botswana;NONE;BLUE;NONE;NONE;BLACK;NONE;NONE;BLUE;NONE
Bresil;Brazil;GREEN;YELLOW;GREEN;YELLOW;BLUE;YELLOW;GREEN;YELLOW;GREEN
Brunei;Brunei;NONE;YELLOW;NONE;NONE;BLACK;NONE;NONE;YELLOW;NONE
Bulgarie;Bulgaria;NONE;WHITE;NONE;NONE;GREEN;NONE;NONE;RED;NONE
Burkina;Burkina Faso;NONE;RED;NONE;NONE;GREEN;NONE;NONE;NONE;NONE
Burundi;Burundi;WHITE;RED;WHITE;GREEN;RED;GREEN;WHITE;RED;WHITE
Cambodge;Cambodia;NONE;BLUE;NONE;NONE;RED;NONE;NONE;BLUE;NONE
Cameroun;Cameroon;NONE;NONE;NONE;GREEN;RED;YELLOW;NONE;NONE;NONE
Canada;Canada;NONE;NONE;NONE;RED;WHITE;RED;NONE;NONE;NONE
Cap-Vert;Cabo Verde;BLUE;BLUE;BLUE;RED;YELLOW;RED;NONE;NONE;NONE
Centrafique;Central African Republic;BLUE;RED;BLUE;WHITE;RED;GREEN;YELLOW;RED;YELLOW
Chili;Chile;BLUE;WHITE;NONE;RED;RED;NONE;NONE;NONE;NONE
Chine;China;YELLOW;RED;NONE;RED;RED;NONE;NONE;NONE;NONE
Chypre;Cyprus;NONE;NONE;NONE;NONE;YELLOW;NONE;NONE;NONE;NONE
Colombie;Colombia;NONE;YELLOW;NONE;NONE;BLUE;NONE;NONE;RED;NONE
Comores;Comoros;GREEN;YELLOW;YELLOW;GREEN;GREEN;RED;GREEN;BLUE;BLUE
Congo;Congo, Republic of the;GREEN;GREEN;YELLOW;GREEN;YELLOW;RED;YELLOW;RED;RED
CongoRD;Congo, Democratic Republic of the;YELLOW;BLUE;RED;BLUE;RED;BLUE;NONE;NONE;NONE
CoreeN;Korea, North;BLUE;BLUE;NONE;YELLOW;RED;NONE;BLUE;BLUE;NONE
CoreeS;Korea, South;BLACK;WHITE;BLACK;WHITE;RED;WHITE;BLACK;WHITE;BLACK
CostaRica;Costa Rica;NONE;BLUE;NONE;NONE;RED;NONE;NONE;BLUE;NONE
CoteIvoire;Cote d'Ivoire;NONE;NONE;NONE;RED;WHITE;GREEN;NONE;NONE;NONE
Croatie;Croatia;RED;RED;RED;WHITE;RED;WHITE;BLUE;BLUE;BLUE
Cuba;Cuba;BLUE;BLUE;NONE;RED;WHITE;NONE;BLUE;BLUE;NONE
Danemark;Denmark;RED;WHITE;RED;WHITE;YELLOW;WHITE;RED;WHITE;RED
Djibouti;Djibouti;WHITE;BLUE;BLUE;WHITE;GREEN;GREEN;NONE;NONE;NONE
Dominique;Dominica;GREEN;BLACK;GREEN;YELLOW;RED;YELLOW;GREEN;WHITE;GREEN
Egypte;Egypt;NONE;RED;NONE;NONE;WHITE;NONE;NONE;BLACK;NONE
ElSalvador;El Salvador;NONE;BLUE;NONE;NONE;WHITE;NONE;NONE;BLUE;NONE
EmiratsArabesUnis;United Arab Emirates;RED;GREEN;NONE;RED;WHITE;NONE;RED;BLACK;NONE
Equateur;Ecuador;NONE;YELLOW;NONE;NONE;BLUE;NONE;NONE;RED;NONE
Erythree;Eritrea;RED;GREEN;NONE;RED;RED;NONE;RED;BLUE;NONE
Espagne;Spain;NONE;RED;NONE;NONE;YELLOW;NONE;NONE;RED;NONE
Estonie;Estonia;NONE;BLUE;NONE;NONE;BLACK;NONE;NONE;WHITE;NONE
EtatsUnis;United States;BLUE;RED;NONE;WHITE;WHITE;NONE;RED;RED;NONE
Ethiopie;Ethiopia;NONE;GREEN;NONE;NONE;YELLOW;NONE;NONE;RED;NONE
Finlande;Finland;WHITE;BLUE;WHITE;BLUE;BLACK;BLUE;WHITE;BLUE;WHITE
France;France;NONE;NONE;NONE;BLUE;WHITE;RED;NONE;NONE;NONE
Gabon;Gabon;NONE;GREEN;NONE;NONE;YELLOW;NONE;NONE;BLUE;NONE
Gambie;Gambia, The;NONE;RED;NONE;NONE;BLUE;NONE;NONE;GREEN;NONE
Georgie;Georgia;WHITE;RED;WHITE;RED;YELLOW;RED;WHITE;RED;WHITE
Ghana;Ghana;NONE;RED;NONE;NONE;YELLOW;NONE;NONE;GREEN;NONE
Grece;Greece;NONE;BLUE;NONE;NONE;WHITE;NONE;NONE;BLUE;NONE
Grenade;Grenada;YELLOW;YELLOW;GREEN;GREEN;RED;GREEN;GREEN;YELLOW;YELLOW
Guatemala;Guatemala;NONE;NONE;NONE;BLUE;WHITE;BLUE;NONE;NONE;NONE
Guinee;Guinea;NONE;NONE;NONE;RED;YELLOW;GREEN;NONE;NONE;NONE
GuineeBissau;Guinea-Bissau;RED;YELLOW;NONE;RED;GREEN;NONE;NONE;NONE;NONE
GuineeEquatoriale;Equatorial Guinea;GREEN;GREEN;NONE;BLUE;WHITE;NONE;RED;RED;NONE
Guyana;Guyana;GREEN;GREEN;NONE;RED;YELLOW;NONE;GREEN;GREEN;NONE
Haiti;Haiti;NONE;BLUE;NONE;NONE;RED;NONE;NONE;NONE;NONE
Honduras;Honduras;NONE;BLUE;NONE;NONE;WHITE;NONE;NONE;BLUE;NONE
Hongrie;Hungary;NONE;RED;NONE;NONE;WHITE;NONE;NONE;GREEN;NONE
IlesCook;Cook Islands;RED;BLUE;NONE;BLUE;WHITE;NONE;NONE;NONE;NONE
IlesFidji;Fiji;RED;BLUE;NONE;BLUE;BLUE;NONE;NONE;NONE;NONE
IlesMarshall;Marshall Islands;BLUE;BLUE;RED;WHITE;RED;YELLOW;RED;BLUE;BLUE
IlesSalomon;Solomon Islands;WHITE;BLUE;YELLOW;BLUE;YELLOW;GREEN;YELLOW;GREEN;GREEN
Inde;India;NONE;YELLOW;NONE;NONE;WHITE;NONE;NONE;GREEN;NONE
Indonesie;Indonesia;NONE;RED;NONE;NONE;WHITE;NONE;NONE;NONE;NONE
Irak;Iraq;NONE;RED;NONE;NONE;WHITE;NONE;NONE;BLACK;NONE
Iran;Iran;NONE;GREEN;NONE;NONE;WHITE;NONE;NONE;RED;NONE
Irlande;Ireland;NONE;NONE;NONE;GREEN;WHITE;YELLOW;NONE;NONE;NONE
Islande;Iceland;BLUE;RED;BLUE;RED;YELLOW;RED;BLUE;RED;BLUE
Israel;Israel;BLUE;BLUE;NONE;WHITE;WHITE;NONE;BLUE;BLUE;NONE
Italie;Italy;NONE;NONE;NONE;GREEN;WHITE;RED;NONE;NONE;NONE
Jamaique;Jamaica;YELLOW;GREEN;YELLOW;BLACK;WHITE;BLACK;YELLOW;GREEN;YELLOW
Japon;Japan;NONE;NONE;NONE;NONE;RED;NONE;NONE;NONE;NONE
Jordanie;Jordan;BLACK;BLACK;BLACK;RED;WHITE;WHITE;GREEN;GREEN;GREEN
Kazakhstan;Kazakhstan;NONE;NONE;NONE;BLUE;YELLOW;BLUE;NONE;NONE;NONE
Kenya;Kenya;NONE;BLACK;NONE;NONE;RED;NONE;NONE;GREEN;NONE
Kirghizistan;Kyrgyzstan;NONE;NONE;NONE;NONE;YELLOW;NONE;NONE;NONE;NONE
Kiribati;Kiribati;RED;YELLOW;RED;BLUE;BLUE;BLUE;NONE;NONE;NONE
Koweit;Kuwait;GREEN;GREEN;NONE;BLACK;WHITE;NONE;RED;RED;NONE
Laos;Laos;RED;RED;NONE;BLUE;WHITE;NONE;RED;RED;NONE
Lesotho;Lesotho;NONE;BLUE;NONE;NONE;WHITE;NONE;NONE;GREEN;NONE
Lettonie;Latvia;NONE;RED;NONE;NONE;WHITE;NONE;NONE;RED;NONE
Liban;Lebanon;RED;RED;NONE;WHITE;GREEN;NONE;RED;RED;NONE
Liberia;Liberia;BLUE;RED;NONE;WHITE;WHITE;NONE;RED;RED;NONE
Libye;Libya;NONE;BLACK;NONE;NONE;RED;NONE;NONE;GREEN;NONE
Liechtenstein;Liechtenstein;NONE;RED;NONE;NONE;BLUE;NONE;NONE;NONE;NONE
Lituanie;Lithuania;NONE;YELLOW;NONE;NONE;GREEN;NONE;NONE;RED;NONE
Luxembourg;Luxembourg;NONE;RED;NONE;NONE;WHITE;NONE;NONE;BLUE;NONE
Macedoine;Macedonia;YELLOW;RED;YELLOW;RED;WHITE;RED;YELLOW;RED;YELLOW
Madagascar;Madagascar;NONE;NONE;NONE;WHITE;RED;NONE;WHITE;GREEN;NONE
Malaisie;Malaysia;BLUE;RED;NONE;WHITE;WHITE;NONE;RED;RED;NONE
Malawi;Malawi;NONE;BLACK;NONE;NONE;RED;NONE;NONE;GREEN;NONE
Maldives;Maldives;RED;RED;NONE;GREEN;WHITE;NONE;RED;RED;NONE
Mali;Mali;NONE;NONE;NONE;GREEN;YELLOW;RED;NONE;NONE;NONE
Malte;Malta;NONE;NONE;NONE;WHITE;RED;NONE;NONE;NONE;NONE
Maroc;Morocco;NONE;NONE;NONE;RED;GREEN;RED;NONE;NONE;NONE
