Afghanistan, NONE, NONE, NONE, BLACK, RED, GREEN, NONE, NONE, NONE
AfriqueSud, GREEN, RED, RED, BLACK, GREEN, GREEN, GREEN, BLUE, BLUE
Albanie, NONE, NONE, NONE, NONE, BLACK, NONE, NONE, NONE, NONE
Algerie, NONE, NONE, NONE, GREEN, RED, WHITE, NONE, NONE, NONE
Allemagne, NONE, BLACK, NONE, NONE, RED, NONE, NONE, YELLOW, NONE
Andorre, NONE, NONE, NONE, BLUE, YELLOW, RED, NONE, NONE, NONE
Angola, NONE, RED, NONE, NONE, BLACK, NONE, NONE, NONE, NONE
Antigua-Barbuda, NONE, NONE, NONE, BLACK, BLACK, BLACK, RED, BLUE, RED
Arabie-Saoudite, NONE, NONE, NONE, GREEN, WHITE, GREEN, NONE, NONE, NONE
Argentine, NONE, BLUE, NONE, NONE, WHITE, NONE, NONE, BLUE, NONE
Armenie, NONE, RED, NONE, NONE, BLUE, NONE, NONE, YELLOW, NONE
Australie, RED, BLUE, NONE, BLUE, BLUE, NONE, NONE, NONE, NONE
Autriche, NONE, RED, NONE, NONE, WHITE, NONE, NONE, RED, NONE
Azerbaidjan, NONE, BLUE, NONE, NONE, RED, NONE, NONE, GREEN, NONE
Bahamas, BLUE, BLUE, NONE, BLACK, YELLOW, NONE, BLUE, BLUE, NONE
Bahrein, NONE, NONE, NONE, WHITE, RED, RED, NONE, NONE, NONE
Bangladesh, WHITE, WHITE, WHITE, GREEN, RED, GREEN, NONE, NONE, NONE
Barbade, NONE, NONE, NONE, BLUE, YELLOW, BLUE, NONE, NONE, NONE
Belarusse, RED, RED, NONE, RED, RED, NONE, GREEN, GREEN, NONE
Belgique, NONE, NONE, NONE, BLACK, YELLOW, RED, NONE, NONE, NONE
Belize, NONE, NONE, NONE, BLUE, WHITE, BLUE, NONE, NONE, NONE
Benin, GREEN, YELLOW, NONE, GREEN, RED, NONE, NONE, NONE, NONE
Bhoutan, NONE, NONE, NONE, YELLOW, YELLOW, RED, YELLOW, RED, RED
Bolivie, NONE, RED, NONE, NONE, YELLOW, NONE, NONE, GREEN, NONE
Bosnie, BLUE, YELLOW, NONE, BLUE, BLUE, NONE, NONE, NONE, NONE
Botswana, NONE, BLUE, NONE, NONE, BLACK, NONE, NONE, BLUE, NONE
Bresil, GREEN, YELLOW, GREEN, YELLOW, BLUE, YELLOW, GREEN, YELLOW, GREEN
Brunei, NONE, YELLOW, NONE, NONE, BLACK, NONE, NONE, YELLOW, NONE
Bulgarie, NONE, WHITE, NONE, NONE, GREEN, NONE, NONE, RED, NONE
Burkina, NONE, RED, NONE, NONE, GREEN, NONE, NONE, NONE, NONE
Burundi, WHITE, RED, WHITE, GREEN, RED, GREEN, WHITE, RED, WHITE
Cambodge, NONE, BLUE, NONE, NONE, RED, NONE, NONE, BLUE, NONE
Cameroun, NONE, NONE, NONE, GREEN, RED, YELLOW, NONE, NONE, NONE
Canada, NONE, NONE, NONE, RED, WHITE, RED, NONE, NONE, NONE
Cap-Vert, BLUE, BLUE, BLUE, RED, YELLOW, RED, NONE, NONE, NONE
Centrafique, BLUE, RED, BLUE, WHITE, RED, GREEN, YELLOW, RED, YELLOW
Chili, BLUE, WHITE, NONE, RED, RED, NONE, NONE, NONE, NONE
Chine, YELLOW, RED, NONE, RED, RED, NONE, NONE, NONE, NONE
Chypre, NONE, NONE, NONE, NONE, YELLOW, NONE, NONE, NONE, NONE
Colombie, NONE, YELLOW, NONE, NONE, BLUE, NONE, NONE, RED, NONE
Comores, GREEN, YELLOW, YELLOW, GREEN, GREEN, RED, GREEN, BLUE, BLUE
Congo, GREEN, GREEN, YELLOW, GREEN, YELLOW, RED, YELLOW, RED, RED
CoreeN, BLUE, BLUE, NONE, YELLOW, RED, NONE, BLUE, BLUE, NONE
CoreeS, BLACK, WHITE, BLACK, WHITE, RED, WHITE, BLACK, WHITE, BLACK
CostaRica, NONE, BLUE, NONE, NONE, RED, NONE, NONE, BLUE, NONE
CoteIvoire, NONE, NONE, NONE, RED, WHITE, GREEN, NONE, NONE, NONE
Croatie, RED, RED, RED, WHITE, RED, WHITE, BLUE, BLUE, BLUE
Cuba, BLUE, BLUE, NONE, RED, WHITE, NONE, BLUE, BLUE, NONE
Danemark, RED, WHITE, RED, WHITE, YELLOW, WHITE, RED, WHITE, RED
Djibouti, WHITE, BLUE, BLUE, WHITE, GREEN, GREEN, NONE, NONE, NONE
Dominique, GREEN, BLACK, GREEN, YELLOW, RED, YELLOW, GREEN, WHITE, GREEN
Egypte, NONE, RED, NONE, NONE, WHITE, NONE, NONE, BLACK, NONE
ElSalvador, NONE, BLUE, NONE, NONE, WHITE, NONE, NONE, BLUE, NONE
EmiratsArabesUnis, RED, GREEN, NONE, RED, WHITE, NONE, RED, BLACK, NONE
Equateur, NONE, YELLOW, NONE, NONE, BLUE, NONE, NONE, RED, NONE
Erythree, RED, GREEN, NONE, RED, RED, NONE, RED, BLUE, NONE
Espagne, NONE, RED, NONE, NONE, YELLOW, NONE, NONE, RED, NONE
Estonie, NONE, BLUE, NONE, NONE, BLACK, NONE, NONE, WHITE, NONE
EtatsUnis, BLUE, RED, NONE, WHITE, WHITE, NONE, RED, RED, NONE
Ethiopie, NONE, GREEN, NONE, NONE, YELLOW, NONE, NONE, RED, NONE
Finlande, WHITE, BLUE, WHITE, BLUE, BLACK, BLUE, WHITE, BLUE, WHITE
France, NONE, NONE, NONE, BLUE, WHITE, RED, NONE, NONE, NONE
Gabon, NONE, GREEN, NONE, NONE, YELLOW, NONE, NONE, BLUE, NONE
Gambie, NONE, RED, NONE, NONE, BLUE, NONE, NONE, GREEN, NONE
Georgie, WHITE, RED, WHITE, RED, YELLOW, RED, WHITE, RED, WHITE
Ghana, NONE, RED, NONE, NONE, YELLOW, NONE, NONE, GREEN, NONE
Grece, NONE, BLUE, NONE, NONE, WHITE, NONE, NONE, BLUE, NONE
Grenade, YELLOW, YELLOW, GREEN, GREEN, RED, GREEN, GREEN, YELLOW, YELLOW
Guatemala, NONE, NONE, NONE, BLUE, WHITE, BLUE, NONE, NONE, NONE
Guinee, NONE, NONE, NONE, RED, YELLOW, GREEN, NONE, NONE, NONE
GuineeBissau, RED, YELLOW, NONE, RED, GREEN, NONE, NONE, NONE, NONE
GuineeEquatoriale, GREEN, GREEN, NONE, BLUE, WHITE, NONE, RED, RED, NONE
Guyana, GREEN, GREEN, NONE, RED, YELLOW, NONE, GREEN, GREEN, NONE
Haiti, NONE, BLUE, NONE, NONE, RED, NONE, NONE, NONE, NONE
Honduras, NONE, BLUE, NONE, NONE, WHITE, NONE, NONE, BLUE, NONE
Hongrie, NONE, RED, NONE, NONE, WHITE, NONE, NONE, GREEN, NONE
IlesCook, RED, BLUE, NONE, BLUE, WHITE, NONE, NONE, NONE, NONE
IlesFidji, RED, BLUE, NONE, BLUE, BLUE, NONE, NONE, NONE, NONE
IlesMarshall, BLUE, BLUE, RED, WHITE, RED, YELLOW, RED, BLUE, BLUE
IlesSalomon, WHITE, BLUE, YELLOW, BLUE, YELLOW, GREEN, YELLOW, GREEN, GREEN
Inde, NONE, YELLOW, NONE, NONE, WHITE, NONE, NONE, GREEN, NONE
Indonesie, NONE, RED, NONE, NONE, WHITE, NONE, NONE, NONE, NONE
Irak, NONE, RED, NONE, NONE, WHITE, NONE, NONE, BLACK, NONE
Iran, NONE, GREEN, NONE, NONE, WHITE, NONE, NONE, RED, NONE
Irlande, NONE, NONE, NONE, GREEN, WHITE, YELLOW, NONE, NONE, NONE
Islande, BLUE, RED, BLUE, RED, YELLOW, RED, BLUE, RED, BLUE
Israel, BLUE, BLUE, NONE, WHITE, WHITE, NONE, BLUE, BLUE, NONE
Italie, NONE, NONE, NONE, GREEN, WHITE, RED, NONE, NONE, NONE
Jamaique, YELLOW, GREEN, YELLOW, BLACK, WHITE, BLACK, YELLOW, GREEN, YELLOW
Japon, NONE, NONE, NONE, NONE, RED, NONE, NONE, NONE, NONE
